datetime,open,high,low,close,volume
2022-01-01 00:00:00,3784.64,3788.45,3623.0,3626.27,54604.9027
2022-01-01 04:00:00,3626.21,3712.5,3622.29,3676.23,39496.5993
2022-01-01 08:00:00,3676.22,3748.45,3676.22,3723.96,26592.7693
2022-01-01 12:00:00,3723.96,3765.27,3701.0,3715.31,27251.1401
2022-01-01 16:00:00,3715.32,3733.84,3673.46,3693.37,23727.9949
2022-01-01 20:00:00,3693.38,3745.36,3691.88,3725.3,27056.8064
2022-01-02 00:00:00,3725.29,3766.0,3718.71,3747.61,27250.4199
2022-01-02 04:00:00,3747.6,3776.45,3740.0,3765.54,22264.7662
2022-01-02 08:00:00,3765.54,3771.0,3741.8,3758.55,18383.5311
2022-01-02 12:00:00,3758.13,3761.92,3717.3,3747.22,19265.868
2022-01-02 16:00:00,3747.22,3770.0,3732.39,3744.01,16876.842
2022-01-02 20:00:00,3744.06,3790.38,3730.33,3778.17,24828.1498
2022-01-03 00:00:00,3778.17,3857.44,3771.91,3798.72,54477.9169
2022-01-03 04:00:00,3799.0,3840.02,3794.24,3828.27,20959.1185
2022-01-03 08:00:00,3828.11,3828.79,3775.7,3785.0,31303.8631
2022-01-03 12:00:00,3785.24,3822.99,3780.3,3808.88,25284.967
2022-01-03 16:00:00,3808.88,3845.0,3789.66,3834.61,33876.1495
2022-01-03 20:00:00,3834.61,3853.09,3777.0,3784.04,45884.8092
2022-01-04 00:00:00,3784.04,3795.0,3735.2,3738.4,41527.3682
2022-01-04 04:00:00,3738.39,3778.67,3680.0,3765.89,58368.7016
2022-01-04 08:00:00,3765.89,3774.36,3713.11,3744.23,31746.5042
2022-01-04 12:00:00,3744.04,3764.53,3726.6,3763.87,23326.7065
2022-01-04 16:00:00,3763.88,3840.0,3757.58,3836.19,56266.2892
2022-01-04 20:00:00,3836.19,3900.73,3815.06,3849.52,70762.9494
2022-01-05 00:00:00,3849.51,3865.64,3758.4,3812.31,72941.027
2022-01-05 04:00:00,3812.05,3832.51,3783.89,3785.11,33215.0786
2022-01-05 08:00:00,3785.1,3826.05,3766.0,3809.45,28599.3967
2022-01-05 12:00:00,3809.44,3822.89,3797.49,3815.74,20741.083
2022-01-05 16:00:00,3815.73,3848.0,3781.42,3791.69,36435.1013
2022-01-05 20:00:00,3791.69,3833.0,3761.44,3820.97,46181.368
2022-01-06 00:00:00,3820.97,3823.33,3645.6,3655.3,91109.249
2022-01-06 04:00:00,3655.29,3666.14,3415.0,3540.63,174875.8383
2022-01-06 08:00:00,3539.82,3550.43,3445.75,3448.83,84114.4064
2022-01-06 12:00:00,3448.83,3480.42,3406.24,3453.12,95682.8549
2022-01-06 16:00:00,3453.04,3456.05,3300.0,3349.49,134482.5845
2022-01-06 20:00:00,3349.49,3426.0,3318.0,3397.01,88961.6632
2022-01-07 00:00:00,3397.01,3461.33,3382.11,3447.29,61229.4441
2022-01-07 04:00:00,3447.28,3458.73,3405.74,3406.81,32274.7882
2022-01-07 08:00:00,3406.81,3416.76,3227.82,3238.74,98869.0497
2022-01-07 12:00:00,3238.74,3251.42,3113.25,3202.25,182082.1687
2022-01-07 16:00:00,3201.75,3289.0,3188.01,3225.68,90340.7723
2022-01-07 20:00:00,3225.86,3268.79,3064.42,3131.69,163786.6234
2022-01-08 00:00:00,3131.69,3222.69,3091.0,3197.32,93458.9422
2022-01-08 04:00:00,3197.33,3225.24,3165.17,3199.24,41094.1699
2022-01-08 08:00:00,3198.68,3246.7,3181.0,3203.5,41016.563
2022-01-08 12:00:00,3203.77,3230.01,3191.5,3216.13,35052.4863
