datetime,open,high,low,close,volume
2017-08-17 08:00:00,301.13,312.18,298.0,302.0,7030.71034
2017-08-18 08:00:00,302.0,311.79,283.94,293.96,9537.84646
2017-08-19 08:00:00,293.31,299.9,278.0,290.91,2146.19773
2017-08-20 08:00:00,289.41,300.53,282.85,299.1,2510.13871
2017-08-21 08:00:00,299.1,346.52,294.6,323.29,5219.44542
2017-08-22 08:00:00,321.04,330.41,144.21,309.8,7956.35088
2017-08-23 08:00:00,312.25,324.99,309.41,315.74,8665.72569
2017-08-24 08:00:00,315.74,328.04,314.01,323.42,6753.27192
2017-08-25 08:00:00,323.42,338.28,323.42,327.24,7125.96962
2017-08-26 08:00:00,327.24,335.44,323.41,330.79,4877.68521
2017-08-27 08:00:00,332.18,348.13,330.73,348.13,4635.43715
2017-08-28 08:00:00,348.11,351.0,331.95,346.0,4279.1817
2017-08-29 08:00:00,347.0,377.6,346.0,374.7,3032.13425
2017-08-30 08:00:00,374.7,393.71,362.05,385.93,4446.59608
2017-08-31 08:00:00,384.64,389.36,377.78,384.79,4435.86855
2017-09-01 08:00:00,386.44,394.39,383.18,388.46,4198.68434
2017-09-02 08:00:00,388.58,394.32,320.08,343.14,8240.32724
2017-09-03 08:00:00,343.56,367.28,320.08,341.77,5253.62211
2017-09-04 08:00:00,339.29,344.55,267.94,283.77,6737.81061
2017-09-05 08:00:00,286.81,321.52,235.55,312.09,8344.41924
2017-09-06 08:00:00,313.29,336.34,312.09,335.0,5486.30988
2017-09-07 08:00:00,335.01,342.5,320.17,334.49,3103.89745
2017-09-08 08:00:00,334.49,335.1,272.0,302.99,4915.75693
2017-09-09 08:00:00,300.01,307.0,281.66,296.74,2740.58822
2017-09-10 08:00:00,296.72,302.78,261.03,293.5,4156.45099
2017-09-11 08:00:00,293.51,304.98,285.21,297.3,4829.64647
2017-09-12 08:00:00,297.78,316.46,286.01,293.96,5176.31402
2017-09-13 08:00:00,293.93,294.5,257.05,276.91,6451.22836
2017-09-14 08:00:00,275.76,283.77,215.0,215.21,12601.95676
2017-09-15 08:00:00,217.0,270.93,192.0,253.0,14223.8953
2017-09-16 08:00:00,255.99,271.81,235.51,249.31,10362.06011
2017-09-17 08:00:00,249.32,264.39,239.02,257.55,4614.53337
2017-09-18 08:00:00,257.53,306.22,257.11,294.57,4125.97051
2017-09-19 08:00:00,296.0,300.0,277.41,284.0,1869.90852
2017-09-20 08:00:00,284.01,294.0,275.91,282.0,1060.56734
2017-09-21 08:00:00,285.1,287.0,252.1,257.0,1912.55583
2017-09-22 08:00:00,258.0,272.97,253.01,264.0,1464.5125
2017-09-23 08:00:00,259.99,286.23,255.11,285.93,2824.33572
2017-09-24 08:00:00,286.5,294.61,275.0,282.0,5575.54422
2017-09-25 08:00:00,282.0,299.0,281.34,294.42,5870.48035
2017-09-26 08:00:00,294.42,296.81,286.24,287.9,4566.92804
2017-09-27 08:00:00,289.91,313.0,286.13,309.74,5518.10382
2017-09-28 08:00:00,309.81,311.81,296.89,302.44,6600.90922
