datetime,open,high,low,close,volume
2019-09-08 16:00:00,10000.0,10357.53,10000.0,10340.12,471.661
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63,2624.63
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89,779.449
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47,2664.789
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.6,2466.485
2019-09-09 12:00:00,10411.7,10411.7,10302.69,10314.26,3386.015
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87,3915.329
2019-09-09 20:00:00,10307.8,10420.65,10228.28,10307.0,1612.306
2019-09-10 00:00:00,10307.0,10382.97,10266.61,10307.25,1547.455
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46,1706.083
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56,1409.001
2019-09-10 12:00:00,10252.7,10270.58,10167.91,10179.1,1529.81
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56,1413.946
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02,1462.66
2019-09-11 00:00:00,10094.27,10293.11,10051.0,10093.88,1377.981
2019-09-11 04:00:00,10091.53,10097.65,9884.31,10067.46,1416.504
2019-09-11 08:00:00,10068.41,10138.01,9988.69,10070.53,1031.664
2019-09-11 12:00:00,10062.34,10101.38,9973.15,9991.84,1826.186
2019-09-11 16:00:00,9992.18,10123.29,9934.11,10077.6,2623.529
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10159.55,2622.058
2019-09-12 00:00:00,10163.06,10205.46,10085.88,10113.43,2704.325
2019-09-12 04:00:00,10116.97,10129.19,10042.12,10078.96,2502.598
2019-09-12 08:00:00,10079.76,10187.9,10076.95,10170.93,2531.512
2019-09-12 12:00:00,10170.0,10365.15,10170.0,10326.58,2529.0
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10308.8,2724.169
2019-09-12 20:00:00,10301.82,10450.13,10300.85,10415.13,2618.03
2019-09-13 00:00:00,10414.96,10440.55,10329.3,10364.64,2483.692
2019-09-13 04:00:00,10364.82,10399.81,10267.89,10284.03,3589.585
2019-09-13 08:00:00,10283.68,10327.14,10251.99,10306.52,3343.982
2019-09-13 12:00:00,10306.52,10344.0,10270.0,10296.57,3556.49
2019-09-13 16:00:00,10294.81,10310.08,10186.34,10210.25,3278.396
2019-09-13 20:00:00,10210.25,10355.85,10153.51,10341.34,3000.576
2019-09-14 00:00:00,10343.01,10353.72,10267.08,10280.77,3297.903
2019-09-14 04:00:00,10280.58,10330.61,10259.75,10316.67,2973.282
2019-09-14 08:00:00,10319.07,10348.0,10287.53,10291.93,3337.285
2019-09-14 12:00:00,10292.13,10396.4,10222.77,10358.0,4138.968
2019-09-14 16:00:00,10355.61,10398.0,10325.41,10363.8,3532.679
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10332.25,3376.507
2019-09-15 00:00:00,10333.47,10359.2,10024.81,10303.39,3539.363
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10308.96,3019.367
2019-09-15 08:00:00,10308.08,10320.0,10268.55,10296.63,3250.042
2019-09-15 12:00:00,10296.54,10317.29,10252.28,10306.37,3755.871
2019-09-15 16:00:00,10306.79,10332.61,10280.14,10294.68,3603.548
2019-09-15 20:00:00,10294.46,10316.45,10265.32,10302.22,3368.064
2019-09-16 00:00:00,10302.0,10353.81,10300.0,10300.07,3490.788
2019-09-16 04:00:00,10300.24,10325.0,10279.69,10302.3,3131.662
