datetime,open,high,low,close,volume
2021-01-01 00:00:00,28948.19,29055.0,28706.0,29015.0,8037.588
2021-01-01 01:00:00,29015.0,29546.42,28975.46,29448.4,19543.401
2021-01-01 02:00:00,29443.65,29500.0,29159.16,29237.06,10049.72
2021-01-01 03:00:00,29236.58,29379.41,29174.95,29302.11,5579.452
2021-01-01 04:00:00,29302.11,29422.32,29086.0,29237.07,8351.683
2021-01-01 05:00:00,29237.06,29249.31,29110.89,29213.8,4199.729
2021-01-01 06:00:00,29213.8,29283.0,29112.1,29197.3,3977.249
2021-01-01 07:00:00,29198.01,29214.96,28822.0,29107.71,10153.425
2021-01-01 08:00:00,29107.72,29190.0,28900.0,29025.89,9141.397
2021-01-01 09:00:00,29025.9,29333.12,29000.0,29229.6,7225.092
2021-01-01 10:00:00,29230.0,29398.74,29188.0,29259.29,5964.835
2021-01-01 11:00:00,29259.3,29454.45,29248.66,29341.99,7231.306
2021-01-01 12:00:00,29342.0,29668.86,29158.11,29257.82,21588.712
2021-01-01 13:00:00,29257.99,29509.59,29238.39,29493.66,8216.882
2021-01-01 14:00:00,29493.69,29570.0,29280.32,29354.58,8107.179
2021-01-01 15:00:00,29354.57,29411.93,29043.75,29210.84,11230.179
2021-01-01 16:00:00,29210.85,29388.1,29152.2,29324.21,6357.585
2021-01-01 17:00:00,29324.21,29368.53,28927.35,29099.0,10867.198
2021-01-01 18:00:00,29099.0,29300.0,28627.12,29086.62,20168.624
2021-01-01 19:00:00,29086.62,29150.0,28967.17,29048.47,6274.763
2021-01-01 20:00:00,29048.48,29299.06,28886.37,29214.14,7608.538
2021-01-01 21:00:00,29214.13,29315.0,29160.0,29177.77,3874.626
2021-01-01 22:00:00,29177.78,29349.88,29118.4,29270.89,4145.307
2021-01-01 23:00:00,29275.64,29350.0,29241.31,29337.16,2821.928
2021-01-02 00:00:00,29337.15,29350.0,28958.24,29215.89,11383.003
2021-01-02 01:00:00,29215.89,29430.0,29114.22,29380.0,7693.401
2021-01-02 02:00:00,29380.0,29500.0,29340.7,29347.02,6230.851
2021-01-02 03:00:00,29347.02,29402.59,29266.99,29364.67,4118.911
2021-01-02 04:00:00,29364.68,29415.0,29230.0,29363.03,4267.183
2021-01-02 05:00:00,29362.97,29633.8,29362.96,29628.65,9433.473
2021-01-02 06:00:00,29628.64,29800.0,29483.7,29733.03,12171.545
2021-01-02 07:00:00,29733.09,29878.0,29648.0,29777.33,11036.513
2021-01-02 08:00:00,29778.77,29898.58,29671.0,29870.0,11105.298
2021-01-02 09:00:00,29870.01,29950.0,29600.02,29642.1,15683.827
2021-01-02 10:00:00,29642.1,29859.0,29491.09,29708.25,12364.982
2021-01-02 11:00:00,29708.24,29810.0,29646.53,29775.52,4936.05
2021-01-02 12:00:00,29775.0,30960.0,29759.68,30660.12,55925.447
2021-01-02 13:00:00,30660.11,31638.82,30570.0,31616.51,40675.339
2021-01-02 14:00:00,31610.71,31675.04,31123.73,31335.01,26720.425
2021-01-02 15:00:00,31337.87,31873.02,31272.42,31717.01,20893.218
2021-01-02 16:00:00,31720.79,33126.67,31718.43,32543.45,82408.607
2021-01-02 17:00:00,32545.48,33000.0,32431.87,32904.2,21370.376
2021-01-02 18:00:00,32904.2,33480.0,32487.68,33100.0,29214.312
2021-01-02 19:00:00,33100.0,33333.0,32743.02,33115.41,20252.544
2021-01-02 20:00:00,33115.41,33146.49,30800.0,30912.0,63891.835
2021-01-02 21:00:00,30884.75,31948.0,30528.0,31722.66,40564.794
2021-01-02 22:00:00,31725.56,32323.62,31465.77,32171.14,15856.752
2021-01-02 23:00:00,32171.14,32277.11,31650.8,32199.91,17342.394
2021-01-03 00:00:00,32198.41,32537.65,32000.02,32478.69,12691.908
2021-01-03 01:00:00,32475.94,32832.88,32253.85,32611.14,13146.43
2021-01-03 02:00:00,32611.03,32928.16,32590.79,32765.99,6885.509
2021-01-03 03:00:00,32765.99,32784.72,32461.25,32601.49,7972.746
2021-01-03 04:00:00,32601.49,33330.01,32472.0,33256.95,12864.78
2021-01-03 05:00:00,33257.0,34220.0,33174.86,33823.58,43260.623
2021-01-03 06:00:00,33820.37,34181.26,33715.0,34016.77,16178.256
2021-01-03 07:00:00,34016.77,34832.25,33801.0,34472.24,38990.593
2021-01-03 08:00:00,34476.0,34743.92,33800.0,34420.0,28359.589
2021-01-03 09:00:00,34421.4,34650.0,33864.0,34239.04,22251.248
2021-01-03 10:00:00,34235.43,34402.06,33457.0,33949.75,28898.441
2021-01-03 11:00:00,33945.43,34499.53,33839.05,34464.06,17190.829
2021-01-03 12:00:00,34464.07,34663.0,33941.2,34156.94,19859.885
2021-01-03 13:00:00,34159.29,34439.92,33838.56,33939.02,15368.473
2021-01-03 14:00:00,33937.45,34213.75,33551.0,33903.75,19640.484
2021-01-03 15:00:00,33903.74,33970.0,32826.35,33540.46,39775.085
2021-01-03 16:00:00,33538.81,33886.96,32675.0,32742.51,27424.316
2021-01-03 17:00:00,32742.48,33324.8,32530.37,32979.98,28138.878
2021-01-03 18:00:00,32979.98,33097.07,32400.0,32831.08,19648.921
2021-01-03 19:00:00,32831.09,32992.2,32509.89,32823.72,10792.227
2021-01-03 20:00:00,32823.72,33912.53,32776.98,33779.07,21968.134
2021-01-03 21:00:00,33779.07,33948.13,33561.0,33625.0,7715.854
2021-01-03 22:00:00,33625.0,33736.12,33057.0,33209.99,11372.293
2021-01-03 23:00:00,33209.99,33665.92,32703.33,33054.53,17091.487
2021-01-04 00:00:00,33053.93,33165.0,32457.0,32907.4,18343.601
2021-01-04 01:00:00,32907.39,33378.0,32656.78,33242.22,10317.378
2021-01-04 02:00:00,33242.23,33647.69,33015.0,33502.99,9932.02
2021-01-04 03:00:00,33503.04,33583.07,33222.0,33562.22,7468.749
2021-01-04 04:00:00,33562.23,33653.56,33250.0,33324.51,7728.847
2021-01-04 05:00:00,33324.51,33411.31,32901.0,32922.5,9697.308
2021-01-04 06:00:00,32922.5,33513.61,32922.5,33265.89,13157.654
2021-01-04 07:00:00,33265.89,33311.96,31692.1,32186.58,40176.196
2021-01-04 08:00:00,32187.38,32642.7,31546.0,32129.54,25222.138
2021-01-04 09:00:00,32131.93,32247.75,30400.0,31179.96,46647.612
2021-01-04 10:00:00,31179.96,31341.81,27800.0,30279.53,78494.179
2021-01-04 11:00:00,30279.43,30930.0,29450.0,30760.39,35147.58
2021-01-04 12:00:00,30757.33,31441.68,30472.48,31225.59,27295.466
2021-01-04 13:00:00,31230.48,31425.6,30620.0,31424.22,19940.016
2021-01-04 14:00:00,31424.18,32135.0,31403.58,32107.19,22653.383
2021-01-04 15:00:00,32107.15,32190.01,31558.18,31758.38,20475.538
2021-01-04 16:00:00,31755.02,31940.0,30761.0,31341.04,32801.34
2021-01-04 17:00:00,31341.03,31552.0,30661.66,31063.98,17431.343
2021-01-04 18:00:00,31063.98,31500.0,31050.0,31195.83,10958.465
2021-01-04 19:00:00,31195.83,31914.36,31119.94,31689.27,10761.474
2021-01-04 20:00:00,31691.15,31863.98,31240.0,31277.46,9937.171
2021-01-04 21:00:00,31277.47,31615.57,30900.0,31048.19,10754.976
2021-01-04 22:00:00,31048.19,31520.0,30998.76,31366.58,5113.426
2021-01-04 23:00:00,31366.58,32075.19,31200.0,32031.07,15672.163
2021-01-05 00:00:00,32029.55,32900.0,32026.31,32496.46,24784.567
2021-01-05 01:00:00,32500.0,32847.26,32317.91,32837.22,12645.212
2021-01-05 02:00:00,32837.23,32880.76,32267.35,32358.11,8991.988
2021-01-05 03:00:00,32358.11,32593.41,31155.17,31217.58,24813.712
2021-01-05 04:00:00,31218.96,31575.46,30425.0,30891.77,30802.146
2021-01-05 05:00:00,30891.76,31401.45,30004.09,30460.81,33175.152
2021-01-05 06:00:00,30460.8,31287.0,29900.0,31136.47,28394.012
2021-01-05 07:00:00,31134.44,31341.0,30780.0,30844.23,11490.751
2021-01-05 08:00:00,30844.25,31549.9,30840.0,31224.1,14310.962
2021-01-05 09:00:00,31223.45,31850.0,31188.2,31604.61,12863.683
2021-01-05 10:00:00,31603.68,31719.93,31120.0,31382.84,12353.254
2021-01-05 11:00:00,31382.85,31824.53,31313.0,31824.53,9283.318
2021-01-05 12:00:00,31816.47,32100.0,31589.92,31618.0,15838.729
2021-01-05 13:00:00,31618.0,31935.55,31451.0,31488.97,8201.125
2021-01-05 14:00:00,31498.73,32450.05,31142.74,32399.95,23345.963
2021-01-05 15:00:00,32402.11,32422.0,31964.27,32133.79,12967.911
2021-01-05 16:00:00,32130.05,32743.31,31802.25,32518.32,21808.403
2021-01-05 17:00:00,32518.32,32858.0,32290.61,32793.8,11416.931
2021-01-05 18:00:00,32793.79,33488.0,32694.77,33411.5,23785.354
2021-01-05 19:00:00,33411.5,34300.0,33146.63,33747.0,31427.188
2021-01-05 20:00:00,33747.0,34103.22,33405.0,34017.0,18253.254
2021-01-05 21:00:00,34017.01,34060.0,33505.27,33744.79,12576.268
2021-01-05 22:00:00,33742.93,34500.0,33738.66,34261.16,16397.561
2021-01-05 23:00:00,34261.2,34358.1,33718.5,33999.52,13793.389
2021-01-06 00:00:00,33999.51,34164.2,33356.46,33962.7,19544.217
2021-01-06 01:00:00,33962.7,34060.0,33555.91,33863.93,9662.571
2021-01-06 02:00:00,33863.93,34187.56,33795.0,33920.64,11385.478
2021-01-06 03:00:00,33914.96,34244.66,33683.38,34182.5,10633.755
2021-01-06 04:00:00,34182.5,35948.66,34173.2,35470.73,50989.757
2021-01-06 05:00:00,35470.73,35716.25,34611.25,35069.72,22948.647
2021-01-06 06:00:00,35069.73,35343.0,34869.35,35240.96,11836.164
2021-01-06 07:00:00,35240.97,35399.99,34400.0,34718.61,15694.147
